"line","negative","positive","sentiment"
371,27,4,-15
372,19,6,-1
373,22,4,-10
374,22,7,-1
375,19,7,2
376,29,7,-8
377,17,8,7
378,25,2,-19
379,25,7,-4
380,23,7,-2
381,22,6,-4
382,14,8,10
383,25,3,-16
384,20,6,-2
385,15,3,-6
386,24,5,-9
387,13,6,5
388,24,9,3
389,25,7,-4
390,9,8,15
391,10,3,-1
392,31,6,-13
393,19,7,2
394,24,5,-9
395,18,3,-9
396,15,8,9
397,22,5,-7
398,22,6,-4
399,19,14,23
400,14,6,4
401,30,5,-15
402,18,9,9
403,24,2,-18
404,20,6,-2
405,18,5,-3
406,30,8,-6
407,21,4,-9
408,22,1,-19
409,25,4,-13
410,22,11,11
411,17,6,1
412,17,4,-5
413,18,10,12
414,24,4,-12
415,20,8,4
416,21,2,-15
417,24,7,-3
418,28,3,-19
419,27,5,-12
420,13,6,5
421,11,9,16
422,16,1,-13
423,16,4,-4
424,14,5,1
425,20,3,-11
426,20,5,-5
427,23,4,-11
428,24,6,-6
429,17,9,10
430,20,7,1
431,11,6,7
432,13,5,2
433,33,2,-27
434,27,8,-3
435,17,9,10
436,18,9,9
437,24,6,-6
438,21,5,-6
439,19,3,-10
440,19,9,8
441,26,4,-14
442,24,9,3
443,27,6,-9
444,17,2,-11
445,31,7,-10
446,15,8,9
447,20,10,10
448,21,5,-6
449,24,3,-15
450,12,4,0
451,19,4,-7
452,23,4,-11
453,17,3,-8
454,17,16,31
455,22,6,-4
456,16,5,-1
457,28,8,-4
458,17,5,-2
459,30,12,6
460,22,2,-16
461,30,3,-21
462,24,6,-6
463,24,7,-3
464,16,2,-10
465,14,4,-2
466,25,5,-10
467,28,6,-10
468,10,8,14
469,26,7,-5
470,20,6,-2
471,23,3,-14
472,19,9,8
473,27,8,-3
474,30,7,-9
475,22,6,-4
476,24,6,-6
477,26,7,-5
478,11,7,10
479,26,9,1
480,16,6,2
481,24,7,-3
482,27,6,-9
483,16,6,2
484,34,5,-19
485,24,5,-9
486,24,9,3
487,18,8,6
488,24,8,0
489,15,6,3
490,11,14,31
491,32,5,-17
492,15,9,12
493,21,6,-3
494,19,7,2
495,23,9,4
496,32,8,-8
497,15,7,6
498,23,3,-14
499,20,8,4
500,18,3,-9
501,24,2,-18
502,14,6,4
503,23,5,-8
504,22,8,2
505,25,2,-19
506,12,9,15
507,16,7,5
508,19,6,-1
509,18,9,9
510,20,5,-5
511,14,2,-8
512,20,6,-2
513,15,2,-9
514,15,9,12
515,26,2,-20
516,24,7,-3
517,14,4,-2
518,13,8,11
519,18,1,-15
520,18,3,-9
521,21,4,-9
522,27,8,-3
523,15,7,6
524,22,8,2
525,17,7,4
526,17,8,7
527,38,2,-32
528,16,5,-1
529,17,7,4
530,9,4,3
531,20,8,4
532,16,11,17
533,28,7,-7
534,18,10,12
535,20,5,-5
536,28,5,-13
537,24,5,-9
538,20,5,-5
539,22,5,-7
540,11,2,-5
541,18,2,-12
542,19,4,-7
543,31,8,-7
544,22,7,-1
545,23,7,-2
546,18,9,9
547,26,13,13
548,25,14,17
549,20,14,22
550,29,7,-8
551,21,15,24
552,23,12,13
553,21,5,-6
554,19,13,20
555,20,5,-5
556,19,11,14
557,23,3,-14
558,22,2,-16
559,22,12,14
560,21,11,12
561,24,5,-9
562,19,4,-7
563,25,15,20
564,19,7,2
565,14,2,-8
566,24,6,-6
567,28,8,-4
568,28,9,-1
569,19,5,-4
570,26,12,10
571,28,13,11
572,21,8,3
573,25,6,-7
574,17,9,10
575,22,2,-16
576,20,2,-14
577,19,10,11
578,23,6,-5
579,11,6,7
580,16,7,5
581,21,8,3
582,31,3,-22
583,22,7,-1
584,16,6,2
585,22,5,-7
586,18,6,0
587,28,13,11
588,22,13,17
589,16,10,14
590,31,10,-1
591,11,6,7
592,25,10,5
593,20,6,-2
594,20,8,4
595,25,5,-10
596,22,8,2
597,22,11,11
598,18,7,3
599,16,3,-7
600,22,9,5
601,26,11,7
602,29,7,-8
603,17,4,-5
604,13,14,29
605,24,10,6
606,14,10,16
607,13,5,2
608,18,13,21
609,27,3,-18
610,20,6,-2
611,23,16,25
612,21,13,18
613,18,4,-6
614,11,9,16
615,16,10,14
616,17,6,1
617,21,6,-3
618,31,11,2
619,23,4,-11
620,21,7,0
621,27,2,-21
622,13,3,-4
623,14,6,4
624,15,2,-9
625,16,8,8
626,17,6,1
627,18,13,21
628,25,10,5
629,21,7,0
630,21,7,0
631,14,2,-8
632,23,4,-11
633,21,8,3
634,18,5,-3
635,21,5,-6
636,25,5,-10
637,29,6,-11
638,15,4,-3
639,24,7,-3
640,16,10,14
641,17,3,-8
642,12,5,3
643,17,4,-5
644,16,11,17
645,19,5,-4
646,23,7,-2
647,20,8,4
648,26,6,-8
649,9,6,9
650,21,14,21
651,27,3,-18
652,9,3,0
653,7,4,5
654,18,7,3
655,17,11,16
656,27,14,15
657,14,7,7
658,12,5,3
659,15,6,3
660,27,8,-3
661,20,3,-11
662,12,4,0
663,23,4,-11
664,25,2,-19
665,15,3,-6
666,15,2,-9
667,12,7,9
668,21,6,-3
669,19,6,-1
670,18,5,-3
671,25,11,8
672,18,9,9
673,17,8,7
674,10,5,5
675,29,4,-17
676,25,7,-4
677,17,4,-5
678,17,7,4
679,16,8,8
680,16,6,2
681,20,7,1
682,9,4,3
683,22,5,-7
684,32,15,13
685,8,3,1
686,15,11,18
687,16,4,-4
688,16,4,-4
689,22,7,-1
690,19,1,-16
691,23,4,-11
692,20,5,-5
693,26,8,-2
694,33,8,-9
695,14,11,19
696,23,5,-8
697,31,8,-7
698,21,2,-15
699,15,1,-12
700,25,10,5
701,11,3,-2
702,17,6,1
703,30,4,-18
704,20,4,-8
705,23,8,1
706,21,4,-9
707,26,5,-11
708,14,1,-11
709,38,4,-26
710,26,10,4
711,21,4,-9
712,20,6,-2
713,11,4,1
714,16,7,5
715,14,6,4
716,8,5,7
717,14,5,1
718,20,3,-11
719,20,14,22
720,14,7,7
721,16,6,2
722,24,4,-12
723,13,6,5
724,19,6,-1
725,25,13,14
726,15,9,12
727,20,13,19
728,26,6,-8
729,18,8,6
730,16,1,-13
731,17,11,16
732,25,2,-19
733,16,1,-13
734,17,6,1
735,27,7,-6
736,25,3,-16
737,26,6,-8
738,24,6,-6
739,16,10,14
740,11,3,-2
741,9,3,0
742,14,3,-5
743,22,9,5
744,12,3,-3
745,9,1,-6
746,34,6,-16
747,37,13,2
748,20,6,-2
749,22,2,-16
750,19,10,11
751,30,4,-18
752,15,3,-6
753,25,1,-22
754,27,7,-6
755,26,3,-17
756,19,5,-4
757,11,2,-5
758,19,2,-13
759,19,5,-4
760,19,5,-4
761,15,3,-6
762,16,3,-7
763,24,5,-9
764,17,9,10
765,28,5,-13
766,19,5,-4
767,22,12,14
768,22,10,8
769,18,9,9
770,30,9,-3
771,18,5,-3
772,25,7,-4
773,18,5,-3
774,20,10,10
775,13,10,17
776,18,5,-3
777,19,7,2
778,25,7,-4
779,28,6,-10
780,19,2,-13
781,23,12,13
782,25,8,-1
783,25,4,-13
784,22,9,5
785,24,13,15
786,13,10,17
787,19,5,-4
788,26,10,4
789,19,9,8
790,22,9,5
791,27,5,-12
792,23,3,-14
793,17,10,13
794,17,14,25
795,18,7,3
796,23,7,-2
797,12,6,6
798,25,5,-10
799,33,8,-9
800,32,6,-14
801,14,4,-2
802,28,7,-7
803,18,6,0
804,29,4,-17
805,23,5,-8
806,28,6,-10
807,17,6,1
808,21,10,9
809,23,3,-14
810,17,3,-8
811,19,12,17
812,18,9,9
813,26,0,-26
814,21,10,9
815,10,4,2
816,17,8,7
817,17,6,1
818,28,12,8
819,21,6,-3
820,31,5,-16
821,23,6,-5
822,26,3,-17
823,28,9,-1
824,27,5,-12
825,17,6,1
826,23,7,-2
827,20,11,13
828,29,2,-23
829,12,8,12
830,19,4,-7
831,30,8,-6
832,19,2,-13
833,16,2,-10
834,18,12,18
835,19,5,-4
836,17,8,7
837,35,9,-8
838,25,9,2
839,35,13,4
840,28,12,8
841,21,5,-6
842,30,9,-3
843,13,6,5
844,20,10,10
845,20,3,-11
846,26,3,-17
847,30,4,-18
848,25,9,2
849,20,6,-2
850,24,4,-12
851,25,2,-19
852,25,13,14
853,31,8,-7
854,16,3,-7
855,24,7,-3
856,20,12,16
857,24,5,-9
858,21,7,0
859,20,6,-2
860,24,9,3
861,26,3,-17
862,20,5,-5
863,21,8,3
864,33,6,-15
865,23,7,-2
866,23,4,-11
867,17,7,4
868,32,9,-5
869,21,4,-9
870,16,1,-13
871,26,10,4
872,11,3,-2
873,26,8,-2
874,22,7,-1
875,21,2,-15
876,14,2,-8
877,17,6,1
878,25,9,2
879,13,8,11
880,23,8,1
881,24,4,-12
882,22,11,11
883,20,5,-5
884,22,5,-7
885,14,12,22
886,25,4,-13
887,22,3,-13
888,19,2,-13
889,25,10,5
890,27,4,-15
891,23,9,4
892,15,5,0
893,26,2,-20
894,27,8,-3
895,25,10,5
896,16,6,2
897,21,8,3
898,21,7,0
899,20,9,7
900,24,17,27
901,17,10,13
902,23,5,-8
903,24,2,-18
904,23,9,4
905,17,12,19
906,23,2,-17
907,20,9,7
908,26,11,7
909,30,6,-12
910,22,8,2
911,15,5,0
912,20,5,-5
913,23,4,-11
914,14,7,7
915,11,6,7
916,28,4,-16
917,16,12,20
918,17,4,-5
919,22,4,-10
920,16,11,17
921,14,10,16
922,23,4,-11
923,17,5,-2
924,16,6,2
925,16,4,-4
926,30,9,-3
927,20,6,-2
928,25,9,2
929,31,11,2
930,16,4,-4
931,11,5,4
932,21,7,0
933,26,12,10
934,18,6,0
935,26,6,-8
936,12,3,-3
937,14,9,13
938,25,8,-1
939,15,2,-9
940,17,7,4
941,14,9,13
942,27,5,-12
943,27,10,3
944,21,8,3
945,23,6,-5
946,15,13,24
947,35,5,-20
948,18,9,9
949,27,8,-3
950,19,6,-1
951,25,8,-1
952,18,4,-6
953,20,8,4
954,21,7,0
955,26,5,-11
956,20,7,1
957,23,5,-8
958,18,6,0
959,24,7,-3
960,25,9,2
961,15,5,0
962,35,6,-17
963,25,9,2
964,21,5,-6
965,31,8,-7
966,21,3,-12
967,17,6,1
968,19,7,2
969,12,10,18
970,18,11,15
971,17,11,16
972,13,7,8
973,15,6,3
974,21,9,6
975,25,6,-7
976,28,10,2
977,19,8,5
978,17,4,-5
979,30,3,-21
980,19,9,8
981,17,3,-8
982,21,5,-6
