"line","negative","positive","sentiment"
1564,18,9,9
1565,24,2,-18
1566,21,2,-15
1567,16,9,11
1568,13,15,32
1569,14,1,-11
1570,23,6,-5
1571,8,7,13
1572,8,7,13
1573,19,4,-7
1574,22,2,-16
1575,17,5,-2
1576,14,4,-2
1577,19,4,-7
1578,16,4,-4
1579,18,11,15
1580,14,3,-5
1581,16,7,5
1582,24,4,-12
1583,13,6,5
1584,24,2,-18
1585,29,2,-23
1586,19,3,-10
1587,24,11,9
1588,19,7,2
1589,29,11,4
1590,15,10,15
1591,14,7,7
1592,22,5,-7
1593,35,2,-29
1594,17,8,7
1595,25,4,-13
1596,19,3,-10
1597,32,3,-23
1598,18,9,9
1599,15,6,3
1600,23,8,1
1601,25,2,-19
1602,26,3,-17
1603,21,7,0
1604,24,6,-6
1605,18,8,6
1606,15,9,12
1607,10,7,11
1608,18,6,0
1609,15,3,-6
1610,18,4,-6
1611,9,3,0
1612,23,6,-5
1613,24,4,-12
1614,17,5,-2
1615,23,5,-8
1616,28,5,-13
1617,26,2,-20
1618,16,6,2
1619,18,4,-6
1620,36,3,-27
1621,10,11,23
1622,16,9,11
1623,12,8,12
1624,12,8,12
1625,23,7,-2
1626,13,4,-1
1627,18,6,0
1628,18,5,-3
1629,13,7,8
1630,24,6,-6
1631,11,2,-5
1632,21,5,-6
1633,18,6,0
1634,18,2,-12
1635,13,7,8
1636,13,11,20
1637,19,8,5
1638,30,8,-6
1639,16,3,-7
1640,13,6,5
1641,26,4,-14
1642,21,5,-6
1643,26,2,-20
1644,18,9,9
1645,22,4,-10
1646,16,5,-1
1647,21,9,6
1648,22,8,2
1649,17,4,-5
1650,12,7,9
1651,12,4,0
1652,11,6,7
1653,17,3,-8
1654,18,4,-6
1655,28,7,-7
1656,26,13,13
1657,20,12,16
1658,17,9,10
1659,25,7,-4
1660,16,12,20
1661,14,8,10
1662,7,6,11
1663,13,10,17
1664,16,13,23
1665,28,6,-10
1666,19,2,-13
1667,15,8,9
1668,16,5,-1
1669,15,10,15
1670,19,10,11
1671,24,5,-9
1672,22,9,5
1673,12,9,15
1674,27,6,-9
1675,21,6,-3
1676,21,3,-12
1677,19,6,-1
1678,9,4,3
1679,27,4,-15
1680,15,4,-3
1681,19,5,-4
1682,20,5,-5
1683,14,5,1
1684,11,5,4
1685,20,9,7
1686,25,5,-10
1687,17,4,-5
1688,20,9,7
1689,12,8,12
1690,17,6,1
1691,10,7,11
1692,20,9,7
1693,11,3,-2
1694,17,3,-8
1695,21,4,-9
1696,16,8,8
1697,16,8,8
1698,19,7,2
1699,12,8,12
1700,17,11,16
1701,16,5,-1
1702,19,7,2
1703,20,7,1
1704,24,8,0
1705,17,9,10
1706,23,10,7
1707,22,13,17
1708,14,7,7
1709,15,7,6
1710,17,2,-11
1711,24,4,-12
1712,18,11,15
1713,24,7,-3
1714,26,2,-20
1715,11,13,28
1716,18,8,6
1717,15,5,0
1718,18,4,-6
1719,12,5,3
1720,22,5,-7
1721,18,4,-6
1722,18,9,9
1723,19,8,5
1724,17,5,-2
1725,20,11,13
1726,13,4,-1
1727,23,15,22
1728,22,7,-1
1729,29,11,4
1730,29,9,-2
1731,11,5,4
1732,18,4,-6
1733,16,4,-4
1734,18,7,3
1735,17,5,-2
1736,23,7,-2
1737,24,8,0
1738,19,11,14
1739,31,14,11
1740,18,9,9
1741,19,6,-1
1742,17,5,-2
1743,14,4,-2
1744,16,6,2
1745,11,4,1
1746,17,14,25
1747,32,9,-5
1748,11,9,16
1749,22,10,8
1750,21,8,3
1751,21,7,0
1752,16,5,-1
1753,16,11,17
1754,20,5,-5
1755,21,3,-12
1756,17,8,7
1757,23,7,-2
1758,26,2,-20
1759,22,7,-1
1760,24,8,0
1761,19,9,8
1762,31,6,-13
1763,13,12,23
1764,21,7,0
1765,19,9,8
1766,15,7,6
1767,23,1,-20
1768,20,3,-11
1769,20,1,-17
1770,19,15,26
1771,19,10,11
1772,10,12,26
1773,16,5,-1
1774,13,6,5
1775,15,7,6
1776,22,7,-1
1777,17,6,1
1778,25,6,-7
1779,19,4,-7
1780,19,3,-10
1781,26,6,-8
1782,18,6,0
1783,19,5,-4
1784,23,3,-14
1785,24,7,-3
1786,16,10,14
1787,17,12,19
1788,13,6,5
1789,21,8,3
1790,22,7,-1
1791,13,7,8
1792,21,5,-6
1793,18,4,-6
1794,23,11,10
1795,22,4,-10
1796,14,5,1
1797,14,10,16
1798,26,6,-8
1799,19,6,-1
1800,13,6,5
1801,18,6,0
1802,21,9,6
1803,10,5,5
1804,12,11,21
1805,17,6,1
1806,20,6,-2
1807,15,4,-3
1808,19,3,-10
1809,23,9,4
1810,21,7,0
1811,13,5,2
1812,33,5,-18
1813,20,8,4
1814,23,4,-11
1815,26,8,-2
1816,25,4,-13
1817,18,6,0
1818,21,9,6
1819,13,3,-4
1820,17,14,25
1821,14,6,4
1822,16,4,-4
1823,16,11,17
1824,31,10,-1
1825,13,5,2
1826,19,11,14
1827,18,6,0
1828,25,6,-7
1829,27,6,-9
1830,18,8,6
1831,15,4,-3
1832,12,3,-3
1833,20,6,-2
1834,22,4,-10
1835,26,1,-23
1836,16,7,5
1837,23,6,-5
1838,16,7,5
1839,19,2,-13
1840,12,4,0
1841,8,4,4
1842,18,5,-3
1843,12,5,3
1844,24,10,6
1845,20,10,10
1846,13,7,8
1847,20,7,1
1848,15,9,12
1849,23,10,7
1850,18,4,-6
1851,17,3,-8
1852,18,8,6
1853,14,13,25
1854,13,5,2
1855,10,5,5
1856,13,7,8
1857,19,2,-13
1858,16,6,2
1859,24,6,-6
1860,16,5,-1
1861,13,6,5
1862,22,7,-1
1863,21,9,6
1864,15,3,-6
1865,38,7,-17
1866,22,3,-13
1867,29,10,1
1868,20,7,1
1869,13,3,-4
1870,15,5,0
1871,22,10,8
1872,25,1,-22
1873,14,4,-2
1874,13,8,11
1875,14,3,-5
1876,15,7,6
1877,28,4,-16
1878,22,5,-7
1879,31,10,-1
1880,32,7,-11
1881,15,5,0
1882,19,8,5
1883,16,7,5
1884,13,5,2
1885,22,8,2
1886,19,5,-4
1887,18,6,0
1888,13,3,-4
1889,13,6,5
1890,19,3,-10
1891,16,4,-4
1892,14,7,7
1893,14,12,22
1894,14,6,4
1895,21,5,-6
1896,22,3,-13
1897,12,3,-3
1898,15,3,-6
1899,23,6,-5
1900,22,5,-7
1901,18,3,-9
1902,33,10,-3
1903,17,2,-11
1904,14,11,19
1905,18,8,6
1906,19,5,-4
1907,17,3,-8
1908,16,6,2
1909,20,6,-2
1910,37,6,-19
1911,17,4,-5
1912,21,6,-3
1913,18,9,9
1914,12,7,9
1915,14,4,-2
1916,21,7,0
1917,13,5,2
1918,28,4,-16
1919,19,11,14
1920,17,7,4
1921,19,7,2
1922,18,7,3
1923,24,9,3
1924,16,5,-1
1925,21,6,-3
1926,17,7,4
1927,6,3,3
1928,9,3,0
1929,15,1,-12
1930,17,5,-2
1931,20,6,-2
1932,15,6,3
1933,15,6,3
1934,18,4,-6
1935,12,2,-6
1936,20,8,4
1937,22,7,-1
1938,10,0,-10
1939,17,6,1
1940,19,13,20
1941,23,10,7
1942,18,6,0
1943,15,3,-6
1944,18,17,33
1945,20,9,7
1946,20,5,-5
1947,18,12,18
1948,20,5,-5
1949,17,5,-2
1950,21,5,-6
1951,14,8,10
1952,22,8,2
1953,10,7,11
1954,13,2,-7
1955,18,6,0
1956,23,10,7
1957,22,4,-10
1958,15,9,12
1959,30,3,-21
1960,21,10,9
1961,26,8,-2
1962,20,8,4
1963,19,6,-1
1964,17,5,-2
1965,28,8,-4
1966,23,8,1
1967,22,9,5
1968,35,11,-2
1969,13,13,26
1970,26,4,-14
1971,16,3,-7
1972,19,9,8
1973,19,9,8
1974,18,11,15
1975,19,10,11
1976,19,7,2
1977,18,9,9
1978,14,6,4
1979,20,4,-8
1980,28,6,-10
1981,25,6,-7
1982,18,7,3
1983,16,8,8
1984,5,6,13
1985,11,5,4
1986,12,4,0
1987,25,10,5
1988,23,5,-8
1989,33,4,-21
